country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,0.945,1.2,5.42,4.93,10.9,9.39,0.826,3.51,5.34,2.83,1,2.15,5.97,2.36,1.68,2.4,1.54,4.02,1.09,1.67,0.925,5.31,7.11,7.96,7.1,6.37,6.86,6.32,9.78,11,12.3,12.3,10.9,10,8.71,11.1,8.55
Austria,,,1.65,0.136,9.68,0.633,0.0383,0.0384,0.118,0.0855,0.0478,0.448,0.206,0.161,2.65,0.987,3.93,2.54,0.76,11.8,0.778,1.55,6.22,5.65,4.1,4.06,22.6,4.22,24.6,14.8,2.56,4.3,6.59,11.1,11.4,6.74,7.69
Belgium,2.93,2.89,13.4,19.9,15.8,11.3,15.9,17.1,16.3,14.7,3.93,3.43,14.1,13.7,11.2,10.7,11.2,9.98,12,10.7,8.42,8.57,10.4,10.7,13.1,15.4,19,20.7,20.6,18.3,16.1,12.8,14.2,11.5,13.2,12.6,13.9
Canada,0.838,1.16,2.15,2.53,3.14,1.97,1.99,2.58,0.831,3.18,0.0822,2.73,2.55,1.94,5.64,1.84,2.67,3.32,4.93,4.96,3.44,2.12,3.92,9.75,7.49,2.99,2.57,5.73,3.83,3.78,8.77,7.97,13.1,7.89,18.6,13,22.5
Switzerland,1.65,1.45,7.61,3.78,0.12,0.996,5.56,4.68,8.48,6.24,5.35,2.8,6.15,1.39,,4.2,6.29,7.57,9.08,12.3,6.57,4.54,5.79,6.41,3.98,5.36,,5.1,9.37,7.97,8.91,7.05,4.95,5.61,5.38,6.25,6.9
Germany,0.448,,3.46,2.08,2.48,1.24,1.84,1.73,1.32,3.42,1.83,3.82,2.56,1.11,1.96,2.48,1.87,2.53,1.96,1.78,2.15,1.83,3.26,3.54,3.58,2.52,3.37,2.98,3.69,2.11,2.69,5.5,3.82,2.67,2.7,4.36,4.19
Denmark,,,20.1,5.14,8.18,11.6,17.1,2.65,15.5,20.5,29.1,3.96,3.54,5.12,0.899,,7.04,0.613,10.2,8,17.1,23.8,13.2,7.81,15.6,25.7,4.29,2.11,17.9,3.38,7.13,8.76,12,10.8,7.25,14.2,8.19
Spain,,,,,,,,,,,,,,,,,,,,,2.05,8.07,12.4,9.35,13.1,27.3,15.6,13,10.6,8.53,11,9.66,9.38,9.43,10.3,7.46,7.4
Finland,,,5.74,11.1,14.2,1.91,1.67,1.18,1.38,2.85,5.45,8.43,3.7,10.1,11.2,16.4,,8.01,12.4,7.61,1.63,3.31,2.25,12.5,6.15,7.81,3.68,13.6,12.1,7.56,6.92,15.7,11.1,5.87,5.76,12.2,5.43
France,0.932,0.746,4.87,9.01,10.6,12.9,12.4,14.3,12.2,10.5,11.6,12,12.3,9.97,5.64,3.45,6.81,6.77,4.9,4.36,5.04,4.05,3.69,5.34,6.23,5.04,4.47,6.08,5.31,5.24,7.31,8.5,6.2,8.16,7.55,5.74,3.31
UK,0.654,1.06,4.51,2.17,1.61,0.301,3.88,1.76,1.97,2.42,2.91,2.06,3.23,3.94,7.78,6.2,3.82,4.21,4.37,6.89,3.51,6.68,7.84,8.57,9.15,10.8,16.5,10.3,9.99,15.4,10.8,17,13.9,8.3,9.48,12.3,12
Greece,,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.7,25.3,16.7,5.59,5.44,7.12,3.39,10.4,16.8,21.6,17,13.6
Ireland,,,,,,,,,,,,,,,19.2,7.51,14.5,12.5,10.4,14.9,12,10.6,,12.4,22.6,22.6,,20.4,18.9,21.5,20.9,32.1,30.2,31.1,31.5,18,23.4
Italy,,,,,4.92,,10.4,11.6,15.5,5.26,6.12,7.5,7.7,6.83,8.94,8.47,8.05,14.4,7.95,7.41,4.44,5.8,11.7,11,10.3,16,7.26,7.27,12,11.8,5.09,8.9,20.6,8.61,14,13,14.3
Japan,1.05,1.97,2.56,0.457,1.07,1.11,1.43,4.23,3.36,3.11,7.58,4.67,4.27,4.42,4.46,4.57,2.77,2.68,3.64,2.87,2.17,2.4,3.47,2.5,2.09,3,2.84,3.37,3.51,3.04,3.57,4.3,4.02,6.66,2.22,3.7,3.37
Luxembourg,,,,,,,,,,,,,,,,,,,,,,36.5,30,,28.8,28.7,32.2,31.4,22.4,23.8,,,,26.1,26,23.6,21.2
Netherlands,1.35,0.739,7.27,5.97,6.58,14.4,7.55,7.77,6.99,4.79,7.08,7.08,6.46,3.54,7.2,4.76,4.37,4.89,3.66,5.86,4.32,7.2,5.51,8.72,9.82,12.4,7.7,6.56,12.2,8.49,8.08,8.68,8.68,7.58,5.21,12.8,4.44
Norway,3.53,3.48,7.74,13,21.1,9.83,2.14,23.1,13.3,7.05,15.1,9.56,5.08,9.13,11.2,19.1,12.4,4.72,5.81,4.91,3.61,7.6,1.54,8.12,6.82,4.39,7.96,6.5,8.63,4.38,14.8,8.18,10.8,7.54,11.5,12.3,7.28
New Zealand,,,6.98,10.7,5.2,0.778,9.78,7.49,2.25,9.87,6.15,1.9,3.68,2.72,1.46,,3.08,2.16,,,3.59,3.91,2.55,3.1,3.1,,,7.38,6.22,5.65,5.96,5.54,9.26,8.32,11.5,9.24,5.96
Portugal,,,,,,,,,,,,,,,,,,,,,,3.19,,4.13,10.5,11.4,16.3,8.05,5.97,4.46,5.25,4.9,5,7.04,5.55,5.61,4.25
Sweden,0.733,20.7,37.4,7.83,12.2,13.6,9.84,12.2,12.2,6.46,9.62,8.55,9.07,6.58,12.5,9.01,11.3,11.9,9.49,12.2,13.2,14.7,12.1,14,15.7,13.8,10.2,7.59,7.92,12.4,3.58,8.2,8.61,9.27,8.89,10.7,11.8
USA,4.37,1.62,17.4,,15.5,14.1,,15.4,13.7,15.5,16.2,14.3,14.4,7.03,19.2,19.7,13.2,13,14,10.3,10.3,10.3,10.3,11.4,12.5,12.5,8.08,7.62,7.36,5.32,7.38,8.84,5.88,5.66,6.59,8,6.1
